0.1-4.5-3,,,,,,0.1-4.5-3,,,,,,0.14-4.5-0,,,,,,,,,,,,0.1-4.5-0,,,,,,0.1-4.5-0,,,,,
a,,,,,,AOA,,,,,,a,,,,,,AOA,,,,,,a,,,,,,AOA,,,,,
AC,,U2DiVA,,Cactus,,AC,,U2DiVA,,Cactus,,AC,,U2DiVA,,Cactus,,AC,,U2DiVA,,Cactus,,AC,,U2DiVA,,Cactus,,AC,,U2DiVA,,Cactus,
0.00000,-0.03729,0.00000,0.22203,-0.80178,0.18841,0.00000,1.04985,-0.80000,0.97947,0.80000,1.40176,-0.28113,-0.12256,0.37189,0.21616,-0.40731,0.17911,0.12653,-3.13410,0.14207,-2.78214,-0.63931,-2.48036,0.00000,-0.07781,-0.81818,0.19654,0.00000,0.15490,0.00000,-1.80838,0.00000,-1.30539,0.81633,-1.52080
27.26058,0.15036,2.40535,0.26048,13.63029,0.15018,20.80000,4.35777,2.40000,1.19062,28.80000,5.13196,13.17124,0.01504,5.12682,0.24791,0.37189,0.21616,8.92591,-1.82806,4.14663,-2.07879,12.92826,-1.17499,20.45455,0.07896,4.90909,0.03487,14.72727,0.14265,17.14286,0.85372,5.71429,-1.59167,11.42857,-0.22526
62.53898,0.27089,4.81069,-0.07084,38.48552,0.20814,40.80000,7.38416,4.00000,1.19062,43.20000,7.38416,33.75380,0.20557,9.15789,0.11031,9.91939,0.18969,29.72789,1.33663,8.18005,-0.72181,33.71469,1.63775,49.09091,0.22104,27.00000,0.16225,54.00000,0.24553,47.34694,5.38670,31.83673,2.50935,30.20408,2.50902
76.97105,0.27589,8.81960,0.08289,57.72829,0.25642,60.00000,9.91789,7.20000,1.75367,59.20000,9.35484,48.81551,0.29554,10.75836,0.08384,16.27700,0.18969,49.72406,4.25004,9.72061,-1.82817,47.30667,3.49619,68.72727,0.27003,67.90909,0.28473,74.45455,0.28473,66.12245,7.68984,60.00000,6.39521,48.16327,5.09943
98.61915,0.23776,20.04454,0.15027,72.96214,0.28544,85.60000,12.38123,24.80000,4.07625,71.20000,10.69208,75.80881,0.35905,15.52215,0.09443,37.70518,0.25850,65.70680,6.25898,12.90384,-1.72806,66.48374,5.85664,86.72727,0.27003,103.09091,0.26023,96.54545,0.28963,86.53061,9.34661,74.28571,7.97890,63.67347,7.04265
113.85301,0.18513,41.69265,0.24180,95.41203,0.29054,96.00000,12.80352,52.80000,8.29912,84.00000,11.60704,91.70949,0.34318,33.74716,0.22145,63.89271,0.34847,83.25895,7.81519,40.10778,2.44133,72.07325,6.45921,111.27273,0.21124,142.36364,0.17205,126.00000,0.24553,111.02041,9.71078,93.87755,9.41994,82.44898,8.77095
138.70824,0.07021,53.71938,0.27558,118.66370,0.25723,106.40000,12.80352,64.80000,9.91789,95.20000,12.09971,102.05612,0.30613,57.53952,0.33788,83.74477,0.38552,92.02725,8.41731,59.29373,5.00289,84.82836,7.36245,139.90909,0.09856,180.81818,0.13285,152.18182,0.19164,134.69388,7.55982,104.08163,9.63754,96.32653,9.27671
169.17595,-0.07345,75.36748,0.29507,134.69933,0.22383,119.20000,12.24047,79.20000,11.32551,108.00000,12.09971,112.40938,0.25320,76.59909,0.36964,101.23485,0.36964,103.95659,8.61677,73.67153,6.66010,95.97410,7.81341,171.00000,-0.04352,186.54545,0.14755,168.54545,0.17205,148.57143,5.26319,113.46939,9.49570,111.83673,9.20795
177.99555,-0.04932,96.21381,0.27614,152.33853,0.19045,136.00000,10.41056,94.40000,12.38123,120.80000,11.53666,129.13797,0.15794,99.65430,0.34847,121.11790,0.33259,116.65842,8.31332,87.22355,7.61352,108.68926,7.81164,181.63636,0.02507,186.54545,0.27493,180.00000,0.18674,159.18367,2.82219,124.89796,8.85128,122.44898,8.49151
185.21158,0.02761,114.65479,0.23317,168.37416,0.16665,153.60000,7.24340,103.20000,12.45161,133.60000,10.26979,156.23088,-0.01671,118.74486,0.30613,137.02964,0.29025,128.53892,7.40663,97.57682,8.11486,120.58307,7.20662,208.63636,0.32392,191.45455,0.30922,194.72727,0.28963,171.42857,-0.40890,140.40816,7.05797,132.24490,7.48747
